"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","LATITUDE","LONGITUDE","dist"
"2079","PAST SALE",NA,"Condo/Co-op","4549 S Dakota Ave NE","Washington","DC",20017,304000,4,1.5,"",1716,NA,1930,NA,177,NA,"http://www.redfin.com/DC/Washington/4549-S-Dakota-Ave-NE-20017/home/10092747","","",38.9456668,-76.9869789,0.822541190418633
"2080","PAST SALE",NA,"Condo/Co-op","1612 44th St NW","Washington","DC",20007,1330000,4,3,"",2144,NA,1929,NA,620,NA,"http://www.redfin.com/DC/Washington/1612-44th-St-NW-20007/home/9938244","","",38.911284,-77.081559,1.12349876856718
"2081","PAST SALE",2017-07-31,"Condo/Co-op","3150 South St NW Unit 2F","Washington","DC",20007,3200000,4,5.5,"Georgetown",3890,NA,2003,80,823,6303,"http://www.redfin.com/DC/Washington/3150-South-St-NW-20007/unit-2F/home/10190123","MRIS","DC9952734",38.9034175,-77.061954,0.634680697965148
"2082","PAST SALE",NA,"Multi-Family (2-4 Unit)","2334 25th St SE","Washington","DC",20020,291910,4,4,"",2800,7513,1941,NA,104,NA,"http://www.redfin.com/DC/Washington/2334-25th-St-SE-20020/home/10157042","","",38.8598913,-76.9696356,0.927094147738185
"2083","PAST SALE",2017-08-07,"Single Family Residential","4119 45th St NW","Washington","DC",20016,1260000,4,3.5,"American University Park",2364,6426,1952,73,533,NA,"http://www.redfin.com/DC/Washington/4119-45th-St-NW-20016/home/9949837","MRIS","DC9985368",38.9424982,-77.087489,0.58625758642611
"2084","PAST SALE",2017-08-15,"Single Family Residential","2133 32nd St SE","Washington","DC",20020,545000,4,2.5,"Hill Crest",2320,4725,1937,65,235,NA,"http://www.redfin.com/DC/Washington/2133-32nd-St-SE-20020/home/10152279","MRIS","DC9984082",38.8633831,-76.9617731,0.881098091624692
"2085","PAST SALE",NA,"Multi-Family (2-4 Unit)","2305 Mount View Pl SE","Washington","DC",20020,413448,4,4,"",2736,7065,1935,NA,151,NA,"http://www.redfin.com/DC/Washington/2305-Mount-View-Pl-SE-20020/home/10159207","","",38.862533,-76.9909459,0.367589439082631
"2086","PAST SALE",2017-08-23,"Single Family Residential","5245 Karl Pl NE","Washington","DC",20019,360000,4,4,"Deanwood",3100,2500,2017,57,116,NA,"http://www.redfin.com/DC/Washington/5245-Karl-Pl-NE-20019/home/17530334","MRIS","DC9899789",38.901863,-76.9233579,0.749374245401424
"2087","PAST SALE",NA,"Multi-Family (2-4 Unit)","4257 6th St SE","Washington","DC",20032,450000,4,4,"",2442,3289,1952,NA,184,NA,"http://www.redfin.com/DC/Washington/4257-6th-St-SE-20032/home/10169902","","",38.827318,-76.99874,1.02708466228454
"2088","PAST SALE",2017-08-29,"Single Family Residential","1375 Underwood St NW","Washington","DC",20012,649000,4,3,"Brightwood",2490,5002,1946,51,261,NA,"http://www.redfin.com/DC/Washington/1375-Underwood-St-NW-20012/home/10022915","MRIS","DC9997510",38.9692028,-77.0326752,0.908640447418001
"2089","PAST SALE",NA,"Condo/Co-op","6827 4th St NW Apt 120","Washington","DC",20012,652100,4,2.5,"",1921,NA,2000,NA,339,NA,"http://www.redfin.com/DC/Washington/6827-4th-St-NW-20012/unit-120/home/10184576","","",38.9729594,-77.0174318,0.172293117279138
"2090","PAST SALE",NA,"Multi-Family (2-4 Unit)","1212 Talbert St SE","Washington","DC",20020,485000,4,4,"",2652,3442,1941,NA,183,NA,"http://www.redfin.com/DC/Washington/1212-Talbert-St-SE-20020/home/10159186","","",38.8625442,-76.99165,0.331170904949523
